"","VDMLR040","VDMWL101","IWRD578A","VDMLR25Q","VDMWL081","VDMWL111","WOE0002Q","VNW00071","VDMWL321","VRW00012","VNW00111","VRW00051","VRW00070","VNW00051","VNW00061","VDMLR071","VDMLR161","VDMWL121","VRW00021","VDMLR111","VRW00030","1GD0001M","1GD0002A","1GD0003B","VAL00251","VDM2W010","VDM2W020","VDM2W031","VDM2W040","VDM2W050","VDM2W071","VDM2W140","VDM2W170","VDM2W181","VDM2W210","VDM2W230","VDM2W240","VDM2W250","VDM2W260","VDM2W271","VDMG0011","VDMWL400","VDMWL442","VDMWL481","VDMWL491","VDMWL501","VDMWL52Q","VNW00011","VDML2QT1","VDMLRQT1","VDM2WQT1","ALB00031","ALB00041","ALB0005Q","VDM2W15Q","VDM2W16Q","VBA00011","VDMWL42Q","VDMWL451","IWRD532A","VDM2W33Q","VDMLR20Q","VEN_QT1","VNW00081","VNW00091","068147Z","0681520","0681570","0681600"
"VRW00030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1GD0001M",0.75,0.6953125,0.6,0.582089552238806,0.594202898550725,0.612676056338028,0.556962025316456,0.711538461538462,NA,0.682692307692308,0.605633802816901,NA,0.664705882352941,0.670588235294118,0.625,0.641176470588235,0.629411764705882,0.6,0.593023255813953,NA,NA,1,0.6125,0.645348837209302,NA,0.660714285714286,0.65,0.594202898550725,NA,0.629411764705882,0.711764705882353,NA,0.682352941176471,0.658823529411765,0.634615384615385,0.568181818181818,0.628205128205128,NA,0.686274509803922,NA,0.73125,0.61046511627907,0.636904761904762,0.69047619047619,0.685185185185185,0.660377358490566,0.616279069767442,0.678571428571429,0.549295774647887,0.635294117647059,0.723529411764706,NA,NA,NA,0.647058823529412,0.625,0.666666666666667,0.520833333333333,0.647058823529412,NA,NA,0.544303797468354,0.656862745098039,0.688679245283019,NA,0.598214285714286,NA,NA,0.726415094339623
"1GD0002A",0.617021276595745,0.65625,0.620481927710843,0.604477611940299,0.615942028985507,0.605633802816901,0.594059405940594,0.615384615384615,NA,0.66,0.634328358208955,NA,0.60625,0.647058823529412,0.633802816901408,0.660869565217391,0.558252427184466,0.543478260869565,0.632183908045977,NA,NA,0.6125,1,0.618705035971223,0.694690265486726,0.569620253164557,NA,0.6328125,NA,0.596774193548387,0.640969162995595,0.57,0.599447513812155,0.633620689655172,NA,0.648648648648649,0.60958904109589,NA,NA,NA,0.609375,0.648148148148148,0.70253164556962,0.692982456140351,0.563636363636364,NA,0.636363636363636,0.634517766497462,0.570422535211268,0.574712643678161,0.602803738317757,NA,NA,NA,NA,0.6015625,0.516129032258065,0.527777777777778,0.620253164556962,NA,0.645161290322581,0.61,0.583798882681564,0.634408602150538,0.670731707317073,0.589285714285714,NA,NA,0.666666666666667
"1GD0003B",0.595744680851064,0.6328125,0.650602409638554,0.537313432835821,0.579710144927536,0.612676056338028,0.569306930693069,0.698717948717949,NA,0.721153846153846,0.633802816901408,NA,0.684027777777778,0.738888888888889,0.572368421052632,0.6625,0.592592592592593,0.56,0.704301075268817,NA,NA,0.645348837209302,0.618705035971223,1,0.618055555555556,0.588607594936709,0.64,0.739130434782609,NA,0.612244897959184,0.628472222222222,NA,0.684027777777778,0.607438016528926,0.673076923076923,0.587837837837838,0.602564102564103,NA,0.607843137254902,NA,0.614583333333333,0.64367816091954,0.595238095238095,0.706349206349206,0.630630630630631,0.69811320754717,0.654255319148936,0.673913043478261,0.704225352112676,0.494565217391304,0.678571428571429,NA,NA,NA,0.627450980392157,0.5,0.606060606060606,0.493055555555556,0.605882352941177,NA,0.736559139784946,0.585,0.663636363636364,0.623655913978495,0.603658536585366,0.633928571428571,NA,NA,0.659420289855073
"VAL00251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.618279569892473,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694690265486726,0.618055555555556,1,NA,NA,NA,NA,NA,0.650442477876106,NA,0.650442477876106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663716814159292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770833333333333,NA,0.654867256637168,0.537735849056604,NA,NA,NA,NA,NA
"VDM2W010",0.582278481012658,0.651785714285714,0.601449275362319,0.69,0.71,0.596153846153846,0.628205128205128,0.648148148148148,NA,NA,NA,NA,0.632911392405063,0.549180327868853,NA,0.651898734177215,0.645569620253165,NA,0.523809523809524,NA,NA,0.660714285714286,0.569620253164557,0.588607594936709,NA,1,NA,NA,NA,0.630434782608696,0.575949367088608,NA,0.626582278481013,0.670886075949367,NA,0.6484375,NA,NA,NA,NA,0.645833333333333,0.62280701754386,0.609090909090909,NA,0.550632911392405,NA,0.5390625,0.689873417721519,0.62037037037037,0.547619047619048,0.59493670886076,NA,NA,NA,NA,0.571428571428571,NA,0.705882352941176,0.663636363636364,NA,0.701754385964912,0.519480519480519,0.608108108108108,0.578947368421053,0.671428571428571,0.633928571428571,NA,NA,0.63768115942029
"VDM2W020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.7,0.67,0.56,0.69,0.7,0.63,NA,NA,0.65,NA,0.64,NA,NA,1,0.62,NA,0.52,0.65,NA,0.7,0.66,NA,NA,0.7,NA,0.7,NA,NA,0.78,0.59,0.5,NA,0.64,0.74,NA,NA,0.72,0.71,NA,NA,NA,0.66,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VDM2W031",NA,NA,0.648148148148148,0.666666666666667,0.559322033898305,0.669491525423729,0.555555555555556,0.7109375,NA,0.701923076923077,0.617647058823529,NA,0.673913043478261,0.782608695652174,0.644927536231884,0.688405797101449,0.485507246376812,0.681159420289855,0.608695652173913,NA,NA,0.594202898550725,0.6328125,0.739130434782609,NA,NA,0.62,1,NA,0.688405797101449,0.543478260869565,NA,0.536231884057971,0.550724637681159,0.692307692307692,0.6,0.739130434782609,NA,0.666666666666667,NA,0.6015625,0.543478260869565,0.644927536231884,0.717741935483871,0.530769230769231,0.788461538461538,0.695652173913043,NA,0.587719298245614,0.579710144927536,0.652173913043478,NA,NA,NA,0.686274509803922,NA,0.727272727272727,0.598360655737705,0.739130434782609,NA,NA,0.619047619047619,NA,NA,NA,NA,NA,NA,NA
"VDM2W040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VDM2W050",0.571428571428571,0.7109375,0.674698795180723,0.634328358208955,0.58695652173913,0.563380281690141,0.505434782608696,0.641025641025641,NA,0.644230769230769,0.584507042253521,NA,0.693877551020408,0.716666666666667,0.592105263157895,0.693877551020408,0.540816326530612,0.614864864864865,0.527173913043478,NA,NA,0.629411764705882,0.596774193548387,0.612244897959184,NA,0.630434782608696,0.52,0.688405797101449,NA,1,0.556122448979592,NA,0.622448979591837,0.576530612244898,0.596153846153846,0.466216216216216,0.711538461538462,NA,0.647058823529412,NA,0.505376344086022,0.604651162790698,0.571428571428571,0.725806451612903,0.50531914893617,0.730769230769231,0.532258064516129,0.623188405797101,0.598591549295775,0.548913043478261,0.612244897959184,NA,NA,NA,0.588235294117647,0.515625,0.689393939393939,0.625,0.589285714285714,NA,NA,0.505434782608696,0.6015625,0.553030303030303,0.608333333333333,0.580357142857143,NA,NA,0.537878787878788
